Xpath;Nome;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json;
data/<creditCardAccount>/transactions/otherCreditsType;otherCreditsType;"Traz outros tipos de crédito contratados no cartão. Vide Enum
Crédito rotativo, Parcelamento de fatura, Empréstimo, Outros";Texto;18;Condicional;;"CREDITO_ROTATIVO
PARCELAMENTO_FATURA
EMPRESTIMO
OUTROS";0;1;"Preenchimento 
obrigatório se o tipo transação selecionado for 'OPERACOES_CREDITO
_CONTRATADAS_CARTAO'";;Enum;
data/<creditCardAccount>/transactions/otherCreditsAdditionalInfo;otherCreditsAdditionalInfo;Campo livre, de preenchimento obrigatório quando selecionado tipo de crédito 'OUTROS';Texto;140;Condicional;;;0;1;"Preenchimento 
obrigatório quando selecionado tipo de crédito 'OUTROS'";;String;
data/<creditCardAccount>/transactions/chargeIdentificator;chargeIdentificator;Identificador da parcela que está sendo informada. Campo de livre preenchimento;Texto;50;Obrigatório;\w*\W*;;1;1;Não há restrição;;String;
data/<creditCardAccount>/transactions/chargeNumber;chargeNumber;Quantidade de parcelas ;Número;2;Obrigatório;;;1;1;"Informar valor '1' para
compras sem parcelamento, >1 para compras com parcelamento";;Number;
data/<creditCardAccount>/transactions/brazilianAmount;brazilianAmount;Valor da transação expresso em valor monetário com 4 casas decimais, em moeda corrente do Brasil;Número;19;Obrigatório;;;1;1;Não há restrição;;Number;
data/<creditCardAccount>/transactions/brazilianCurrency;brazilianCurrency;"Moeda referente ao valor da transação  no Brasil, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os saldos informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;;moeda (ISO-4217);1;1;Não há restrição;;String;
data/<creditCardAccount>/transactions/amount;amount;Valor da transação efetuada no exterior e convertida em moeda nacional com 4 casas decimais. Expresso em valor monetário com 4 casas decimais;Número;19;Obrigatório;;;1;1;Não há restrição;Aceita null;Number;
data/<creditCardAccount>/transactions/currency;currency;"Moeda referente ao valor da transação, se a operação foi efeuatda em moeda  estrangeira, segundo modelo ISO-4217.
Todos os valores informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;;moeda (ISO-4217);1;1;Não há restrição;;String;
data/<creditCardAccount>/transactions/transactionDate;transactionDate;Data lançamento da transação;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;Não há restrição;;String;
data/<creditCardAccount>/transactions/billPostDate;billPostDate;Data que a transação foi inserida na fatura;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;Não há restrição;;String;
data/<creditCardAccount>/transactions/payeeMCC;payeeMCC;O MCC ou o código da categoria do estabelecimento comercial. Os MCCs são agrupados segundo suas similaridades. O MCC é usado para classificar o negócio pelo tipo fornecido de bens ou serviços. Os MCCs são atribuídos por tipo de comerciante (por exemplo, um para hotéis, um para lojas de materiais de escritório, etc.) ou por nome de comerciante (por exemplo, 3000 para a United Airlines).;Número;4;Condicional;;;0;1;De preenchimento obrigatório para tipo de transação 'PAGAMENTO';;Number;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
