Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/priorityServices/maximum/currency;currency;Moeda referente ao valor máximo da tarifa do Serviço Prioritário, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/priorityServices/chargingUnit;chargingUnit;Unidade ou forma de cobrança, relativa a cada tarifa de Serviço Prioritário informada. p.ex. 'Por depósito recebido';Texto;50;Mandatório;\w*\W*;;23;23;Este campo deve estar obrigatoriamente preenchido, para cada umas das 23 ocorrências de tarifas de serviços prioritários;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/otherServices/name;name;"Nome atribuído a Outros Serviços disponíveis para os tipos de contas informadas. 
Outros Serviços são quaisquer serviços que a instituição ofereça para a modalidade de Contas e não estejam definidos na lista de Serviços  Prioritários definidos na resolução 3.919 do Bacen. ";Texto;50;Opcional;;;0;N;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/otherServices/code;code;Sigla de identificação de Outros Serviços que incidem sobre os tipos de contas informadas.;Texto;30;Opcional;;;0;N;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/otherServices/chargingTriggerInfo;chargingTriggerInfo;Outros Fatores geradores de cobrança referentes aos Outros Serviços que incidem sobre as contas comercializadas;Texto;500;Opcional;;;0;N;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/otherServices/price/interval;interval;Faixas de valor referentes a tarifa de Outros Serviços informada: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;30;Mandatório;\W*;"1º quartil de clientes'
'2º quartil de clientes'
'3º quartil de clientes'
'4º quartil de clientes'";4;4;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/otherServices/price/value;value;"Valor da mediana da tarifa cobrada referente a Outros Serviços.
 p.ex.'45.00' (representa um valor monetário. Ex: 1547368.92. Este valor,  considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separador presente deve ser o ' .'  (ponto) para indicar a casa decimal. Não deve haver separador de milhar)";Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;4;4;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/otherServices/price/currency;currency;Moeda referente ao valor da mediana da tarifa de Outros Serviços no quartil informado, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);4;4;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/otherServices/minimum/value;value;Valor mínimo cobrado para a tarifa de Outros Serviços no mês de referência;Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/otherServices/minimum/currency;currency;Moeda referente ao valor mínimo da tarifa de Outros Serviços, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/otherServices/maximum/value;value;Valor máximo cobrado para a tarifa de Outros Serviços no mês de referência.;Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/otherServices/maximum/currency;currency;Moeda referente ao valor máximo da tarifa de outros serviços, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/otherServices/additionalInfo;additionalInfo;Descrição de como é composto o valor da tarifa. p.ex. '0,5% do valor do orçamento';Texto;80;Opcional;\w*\W*;;0;N;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/fees/otherServices/chargingUnit;chargingUnit;Unidade ou forma de cobrança. p.ex. 'Por depósito recebido';Texto;50;Mandatório;\w*\W*;;1;N;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/name;name;Nome do Pacote de Serviços dado pela instituição;Texto;50;Mandatório;;;1;N;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/services/code;code;Código que identifica o Serviço que compõe o Pacote de Serviços, podendo ser da lista de Serviços Prioritários ou Outros Serviços. p.ex. segundo Resolução 3.919 do Bacen: 'SAQUEterminal'.;Texto;30;Mandatório;;Lista de 'code' de Serviços Prioritários (priorityServices) e lista de Outros Serviços (otherService);1;N;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/services/eventLimitQuantity;eventLimitQuantity;Quantidade de eventos previstos no Pacote de Serviços (Número de eventos incluídos no mês) p.ex.'2';Texto;4;Mandatório;^(\d{1,4}){1}$;;1;N;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/services/freeEventQuantity;freeEventQuantity;Quantidade de eventos previstos no Pacote de Serviços com isenção de Tarifa. P.ex.'1';Texto;4;Mandatório;^(\d{1,4}){1}$;;1;N;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/services/price/interval;interval;Faixas de valor referentes ao Serviço que compõe o Pacote de Serviços informado: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;30;Mandatório;\W*;"1º quartil de clientes'
'2º quartil de clientes'
'3º quartil de clientes'
'4º quartil de clientes'";4;4;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/services/price/value;value;"Valor da mediana da tarifa referente ao Serviço que compõe o Pacote de Serviços. p.ex. '4.50'
(representa um valor monetário. p.ex: 1547368.92. Este valor, considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separador presente deve ser o ' .'  (ponto) para indicar a casa decimal. Não deve haver separador de milhar)";Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;4;4;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/services/price/currency;currency;Moeda referente ao valor da tarifa do Serviço que compõe o Pacote de Serviços, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);4;4;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/services/minimum/value;value;Valor mínimo cobrado para a tarifa do Serviço que compõe o Pacote de Serviços no mês de referência;Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/services/minimum/currency;currency;Moeda referente ao valor mínimo da tarifa que compõe o Pacote de Serviços, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/services/maximum/value;value;Valor máximo cobrado para a tarifa do Serviço que compõe o Pacote de Serviços no mês de referência;Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/services/maximum/currency;currency;Moeda referente ao valor máximo da tarifa do Serviço que compõe o Pacote de Serviços, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/price/interval;interval;Faixas de valor referentes ao pagamento mensal do Pacote de Serviços informado: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;30;Mandatório;\W*;"1º quartil de clientes'
'2º quartil de clientes'
'3º quartil de clientes'
'4º quartil de clientes'";4;4;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/price/monthlyFee;monthlyFee;Valor da mediana da tarifa mensal referente ao Pacote de Serviços. p.ex. '130.00' (representa um valor monetário. p.ex: 1547368.92. Este valor, considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separador presente deve ser o '. '  (ponto) para indicar a casa decimal. Não deve haver separador de milhar);Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;4;4;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/price/currency;currency;Moeda referente ao valor da mediana da tarifa mensal do Pacote de Serviços, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);4;4;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/minimum/value;value;Valor  mensal mínimo cobrado referente ao Pacote de Serviços no mês de referência;Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/minimum/currency;currency;Moeda referente ao valor mínimo da tarifa de Pacote de Serviços, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/maximum/value;value;Valor  mensal máximo cobrado referente ao Pacote de Serviços no mês de referência;Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/serviceBundles/maximum/currency;currency;Moeda referente ao valor máximo da tarifa do Pacote de Serviços, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/openingClosingChannels ;openingClosingChannels ;Canais disponíveis para abertura e encerramento de contas, p.ex. 'dependências próprias';Texto;30;Mandatório;;"Dependências próprias
Correspondentes bancários
Internet banking
Mobile banking
Central telefônica
Chat
Outros (p.ex. Website/Apps de terceiros)";1;7;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/additionalInfo;additionalInfo;Texto livre para complementar informação relativa ao Canal disponível, quando no campo 'openingClosingChannels' estiver preenchida a opção 'Outros';Texto;100;Opcional;\w*\W*;;0;1;Campo de preenchimento obrigatório se 'openingCloseChannels' estiver preenchida a opção 'Outros';;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/transactionMethods  ;transactionMethods  ;Lista de formas de movimentação possíveis para a conta, p.ex. 'movimentação com cartão'.;Texto;30;Mandatório;;"Movimentação eletrônica, 
Movimentação com cheque, 
Movimentação com cartão, 
Movimentação presencial";1;4;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/termsConditions/minimumBalance;minimumBalance;Saldo mínimo exigido nos Termos e condições contratuais, que regem as contas comercializadas. p.ex. '200.00';Texto;12;Mandatório;^(\d{1,9}\,\d{2}){1}$;;1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/termsConditions/minimumBalanceCurrency;minimumBalanceCurrency;Moeda referente ao saldo mínimo exigido, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Mandatório;^(\W{3}){1}$;moeda (ISO-4217);1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/termsConditions/elegibilityCriteriaInfo;elegibilityCriteriaInfo;Critérios de qualificação do cliente com a finalidade de definir sua elegibilidade para a aquisição do tipo de conta. Possibilidade de inscrição da URL. Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;1024;Mandatório;;;1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/termsConditions/closingProcessInfo;closingProcessInfo;Procedimentos de encerramento para o tipo de conta tratado. Possibilidade de inscrição da URL. Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;2000;Mandatório;;;1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/incomeRates/rate;rate;"Valor do percentual que corresponde a taxa de remuneração prevista para a conta p.ex. do tipo 'poupança'.
(representação de uma porcentagem Ex: 0.15. O valor ao lado representa 15%.O valor 1  representa 100%)";Texto;7;Opcional;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1};;0;1;;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/incomeRates/referencialRate;referencialRate;Taxa Referencial se configura como uma taxa de juros de referência, ou seja, um indicador geral da economia brasileira. Por isso, é utilizada na hora de calcular o rendimento de determinadas aplicações financeiras;Texto;7;Opcional;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1};;0;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/incomeRates/indexer;indexer;Indexador é o termo utilizado para se referir aos índices usados como base para corrigir os valores monetários de um determinado ativo. No Brasil, os indexadores mais comuns são o IPCA, a taxa Selic e o CDI;Texto;10;Opcional;;;0;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/incomeRates/prePostTax;prePostTax;"Indicador de indexador pré ou pós fixado.
A diferença básica é que, enquanto o prefixado apresenta rentabilidade definida, o pós-fixado acompanha algum indicador. Assim, quem investe no primeiro grupo sabe como será seu rendimento previamente, enquanto quem investe no segundo, só conhecerá os resultados na data de vencimento.";Texto;3;Opcional;;"Pré
Pós";0;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/incomeRates/occurrence;occurrence;Código que indica a ocorrência sobre a qual incide a Remuneração. p.ex. 'a.m.', 'a.a.';Texto;4;Opcional;;"a.d.
a.m.
a.a.";0;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/incomeRates/additionalinfo;additionalinfo;Descrição da Remuneração ;Texto;2000;Opcional;;;0;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/incomeRates/application/interval;interval;Faixas do percentual de taxa de remuneração efetivamente aplicada no intervalo informado:1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;30;Mandatório;\W*;"1º quartil de clientes'
'2º quartil de clientes'
'3º quartil de clientes'
'4º quartil de clientes'";4;4;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/incomeRates/application/rate;rate;Percentual que corresponde a taxa mediana de remuneração efetivamente aplicada no intervalo informado. Representação de uma porcentagem. p.ex: 0.15  (Este valor representa 15%. O valor 1 representa 100%);Texto;7;Mandatório;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1};;4;4;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/incomeRates/minimumRate;minimumRate;Percentual mínimo referente à taxa de remuneração efetivamente aplicada no mês de referência. Representação de uma porcentagem. p.ex: 0.15  (Este valor representa 15%. O valor 1 representa 100%) ;Texto;7;Mandatório;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1};;1;1;N/A;;;;;;;
openBankingBrazil/<brand>/companies/personalAccounts/incomeRates/maximumRate;maximumRate;Percentual máximo referente à taxa de remuneração efetivamente aplicada no mês de referência. Representação de uma porcentagem. p.ex: 0.15  (Este valor representa 15%. O valor 1 representa 100%);Texto;7;Mandatório;(-?[1-9]?\d{1,2}){1}(\,\d{1,2}){1};;1;1;N/A;;;;;;;
