 ;7; 'Organização D'; 'Empresa D' ;68005525000153';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';;79416097;CAN;2024-04-31';RNE;;15291908;P;;;'false';CAN;;;;Juan Kaique Cláudio Fernandes;Karina;PAI;;Luís Fernando Caio Fernandes;;1958-05-02';OUTROS;SEPARADO_EXTRAJUDICIALMENTE;MASCULINO;true';'115-171 Ward Wave';;'East Gwilimbury';'Toronto';3304557';'ON';22725480';'Canada';'CAN';'44.10005858631215';'-79.42996208549806';true';FIXO;;'1';'412';36533248';;true';enricognogueira-94@mls.com.br'
;;;;;;;;;;;;;;;;;;;;;;;;MAE;;Yolanda Penteado;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;8; 'Organização D1'; 'Empresa D1' ;69677545000133';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';82210478804';;;;RG;;AC-15811898;4;;2026-06-31';true';;;;;Fernanda Garcia Mendes;;PAI;;Geraldo Ricardo Henrique Rodrigues';;1996-01-20';SOLTEIRO;;FEMININO;true';Rua Monte Sião, 351';;Residencial Rosa Linda';Rio Branco';1200401';AC';69909006';Brasil';BRA';;;true';FIXO;;55';68';39483486';;true';juliasabrinarodrigues@yahho.com.br'
;;;;;;;;;;;;;;;;;;;;;;;;MAE;;Lourdes Dalar';;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;9; 'Organização E'; 'Empresa E ' ;06437130000172';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';20569888280';;;;RG;;;;;;true';;;;;Paulo Reis Freitas;;MAE;;Andrea Arthur Freitas';;1978-07-20';OUTROS;SEPARADO_EXTRAJUDICIALMENTE;MASCULINO;true';Avenida Epitácio Pessoa, 472';;Vila Iracy';Rondonópolis';5107602';MT';78725470';Brasil';BRA';;;true';FIXO;;55';66';28059615';;true';isabellelaurafreita@integrasjc.com.br'
;;;;;;;;;;;;;;;;;;;;;;;;PAI;;Andre Freitas';;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;10; 'Organização E1'; 'Empresa E1' ;59854754000151';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';65036244842';;;;CNH;;7825038247;;;2025-03-19';true';;;;;Ana Vieira Lima;;PAI;;Wiliam Domingos';;1982-05-25';CASADO;;FEMININO;true';Alameda Dezenove, 189';Fundos';Tapanã (Icoaraci);Belém;1501402';PA';38412710';Brasil';BRA';;;true';MOVEL;;55';34';998765432;;true';julianajlanac@etep.edu.br'
 ;;;;;;;;;;;;;;;;;;;;;;;;MAE;;Maria Clementina;;;;;;;;;;;;;;;;;;;;;;;;;;
