;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';546-psd-71md6971kjh-2d414'; 'Organização I';39156096000117';56033863000110'; ; ; ; ;Ayla e Jaqueline Transportes Ltda';Roda de Ouro;2016-06-11';SOCIO;Bryan Francisco Calebe da Paz';NA;2016-06-11';0.40';CPF';23634992808'; ;BRA'; ;true';Rua Walter Rodolpho'; ;Vila Industrial';Bauru';3506003';SP';17055420';Brasil';BRA'; ; ;true';FIXO; ;55';14';989331576'; ;true';bryanfranciscocalebedapaz_@fosjc.unesp.br'
;;;;;;;;;;;;;;SOCIO;Maria Socorro';NA;2016-12-19';0.30';CPF;6647654321';;BRA';;;;;;;;;;;;;;;;;;;;;; 
; ; ; ; ; ; ; ; ; ; ; ; ; ;ADMINISTRADOR;Bruno Felicio';NA;2016-12-19'; ;CPF;7654844825'; ;BRA'; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';658-psd-71md6971kjh-2d414'; 'Organização J';34719779000111';75228320000100'; ; ; ; ;Bianca e Mariana Buffet Ltda';Festa dos Sonhos;2016-12-19';SOCIO;Julio Pedro Guilherme Pinto';NA;2016-12-19';0.25';CPF;1524376835'; ;BRA'; ;true';Rua Colibri, 706'; ;Jardim Santa Lúcia';Salto';3545209';SP';13321503';Brasil';BRA'; ; ;true';FIXO; ;55';11';991170516'; ;true';juliopedroguilhermepinto@sodexo.com'
;;;;;;;;;;;;;;SOCIO;Mariana Sorrin';NA;2016-12-19';0.70';CPF;9987654321';;BRA';;;;;;;;;;;;;;;;;;;;;; 
; ; ; ; ; ; ; ; ; ; ; ; ; ;ADMINISTRADOR;Bianca de Freitas';NA;2016-12-19'; ;CPF;5679844825'; ;BRA'; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
